iter	Passed	Remaining
0	77	93438
1	157	94180
2	243	97126
3	327	97917
4	413	98714
5	500	99530
6	587	100137
7	674	100573
8	764	101152
9	854	101684
10	949	102599
11	1040	102992
12	1131	103288
13	1222	103528
14	1312	103686
15	1404	103908
16	1492	103890
17	1581	103846
18	1686	104845
19	1780	105064
20	1870	105036
21	1964	105163
22	2058	105361
23	2149	105337
24	2240	105312
25	2329	105200
26	2427	105448
27	2518	105428
28	2608	105333
29	2701	105357
30	2798	105543
31	2891	105547
32	2989	105713
33	3081	105665
34	3178	105791
35	3270	105760
36	3362	105692
37	3456	105697
38	3549	105653
39	3641	105610
40	3735	105586
41	3828	105570
42	3933	105833
43	4024	105741
44	4117	105692
45	4210	105620
46	4306	105636
47	4399	105586
48	4492	105532
49	4586	105493
50	4679	105430
51	4774	105401
52	4868	105363
53	4960	105268
54	5051	105169
55	5145	105121
56	5236	105013
57	5342	105197
58	5452	105454
59	5556	105573
60	5668	105835
61	5794	106359
62	5906	106606
63	6021	106876
64	6160	107568
65	6270	107746
66	6379	107884
67	6493	108089
68	6608	108323
69	6727	108607
70	6858	109062
71	6965	109131
72	7073	109197
73	7177	109210
74	7280	109212
75	7388	109272
76	7497	109344
77	7611	109482
78	7722	109581
79	7829	109607
80	7931	109568
81	8038	109604
82	8142	109584
83	8246	109566
84	8371	109814
85	8475	109785
86	8579	109761
87	8686	109759
88	8795	109794
89	8900	109778
90	9005	109745
91	9109	109710
92	9213	109675
93	9317	109626
94	9424	109620
95	9531	109606
96	9634	109552
97	9750	109643
98	9866	109731
99	9976	109743
100	10083	109717
101	10191	109704
102	10292	109620
103	10399	109595
104	10503	109535
105	10631	109724
106	10743	109745
107	10851	109721
108	10958	109689
109	11062	109614
110	11165	109543
111	11265	109433
112	11367	109352
113	11468	109253
114	11568	109149
115	11668	109039
116	11768	108932
117	11864	108794
118	11961	108656
119	12055	108497
120	12152	108368
121	12248	108230
122	12340	108058
123	12440	107949
124	12533	107788
125	12627	107638
126	12720	107471
127	12813	107312
128	12920	107272
129	13030	107249
130	13127	107125
131	13225	107004
132	13320	106867
133	13416	106733
134	13511	106587
135	13608	106467
136	13704	106332
137	13804	106236
138	13901	106111
139	13993	105951
140	14081	105764
141	14171	105591
142	14262	105419
143	14353	105261
144	14445	105102
145	14540	104967
146	14633	104827
147	14723	104654
148	14814	104499
149	14905	104336
150	14995	104172
151	15097	104091
152	15192	103964
153	15285	103821
154	15376	103666
155	15467	103514
156	15560	103371
157	15650	103217
158	15743	103075
159	15834	102927
160	15926	102783
161	16018	102639
162	16110	102495
163	16203	102359
164	16296	102223
165	16390	102093
166	16479	101934
167	16571	101798
168	16664	101665
169	16702	101196
170	16790	101040
171	16880	100893
172	16973	100764
173	17063	100618
174	17156	100486
175	17246	100346
176	17351	100283
177	17443	100150
178	17534	100017
179	17628	99892
180	17730	99822
181	17832	99745
182	17926	99621
183	18018	99493
184	18112	99371
185	18210	99273
186	18302	99144
187	18391	99002
188	18484	98877
189	18575	98744
190	18666	98610
191	18759	98489
192	18849	98348
193	18940	98217
194	19033	98096
195	19126	97975
196	19215	97832
197	19306	97700
198	19398	97574
199	19497	97487
200	19590	97368
201	19687	97266
202	19706	96783
203	19798	96664
204	19891	96545
205	19985	96436
206	20079	96322
207	20171	96203
208	20267	96099
209	20363	96001
210	20459	95897
211	20554	95790
212	20653	95705
213	20751	95612
214	20847	95512
215	20944	95413
216	21040	95313
217	21135	95208
218	21231	95107
219	21327	95005
220	21422	94899
221	21512	94769
222	21604	94651
223	21707	94584
224	21798	94461
225	21897	94370
226	21989	94255
227	22080	94133
228	22173	94017
229	22262	93891
230	22356	93780
231	22449	93670
232	22540	93549
233	22632	93430
234	22725	93320
235	22818	93206
236	22909	93088
237	23001	92973
238	23091	92849
239	23183	92733
240	23273	92611
241	23365	92494
242	23454	92371
243	23545	92250
244	23638	92140
245	23731	92031
246	23826	91927
247	23929	91859
248	24022	91748
249	24119	91654
250	24210	91536
251	24303	91426
252	24396	91319
253	24488	91203
254	24579	91087
255	24668	90963
256	24757	90841
257	24848	90727
258	24941	90615
259	25034	90509
260	25123	90388
261	25214	90271
262	25304	90154
263	25395	90040
264	25488	89932
265	25580	89820
266	25670	89703
267	25762	89591
268	25852	89474
269	25944	89365
270	26033	89243
271	26146	89206
272	26236	89089
273	26328	88980
274	26422	88877
275	26515	88768
276	26607	88660
277	26699	88549
278	26791	88442
279	26882	88328
280	26974	88218
281	27063	88100
282	27153	87985
283	27242	87865
284	27330	87745
285	27421	87635
286	27523	87558
287	27613	87442
288	27706	87338
289	27798	87230
290	27887	87111
291	27997	87060
292	28096	86975
293	28191	86874
294	28287	86779
295	28392	86711
296	28485	86608
297	28580	86510
298	28672	86401
299	28767	86301
300	28859	86194
301	28954	86095
302	29045	85985
303	29138	85883
304	29233	85782
305	29325	85676
306	29417	85570
307	29510	85465
308	29601	85356
309	29693	85247
310	29786	85145
311	29876	85032
312	29967	84924
313	30059	84817
314	30152	84714
315	30244	84608
316	30337	84504
317	30425	84386
318	30530	84318
319	30635	84248
320	30754	84214
321	30852	84125
322	30945	84022
323	31039	83922
324	31133	83819
325	31260	83808
326	31359	83722
327	31457	83631
328	31563	83560
329	31661	83471
330	31761	83386
331	31875	83338
332	31982	83270
333	32090	83204
334	32188	83112
335	32293	83041
336	32390	82945
337	32503	82894
338	32627	82866
339	32791	82942
340	32928	82949
341	33051	82917
342	33152	82831
343	33251	82743
344	33351	82654
345	33451	82565
346	33549	82471
347	33645	82373
348	33744	82281
349	33839	82182
350	33935	82083
351	34030	81983
352	34126	81883
353	34223	81788
354	34316	81683
355	34411	81582
356	34504	81476
357	34599	81376
358	34693	81274
359	34788	81173
360	34883	81073
361	34989	80998
362	35084	80896
363	35179	80797
364	35284	80718
365	35387	80635
366	35495	80565
367	35606	80502
368	35719	80440
369	35819	80350
370	35918	80259
371	36015	80164
372	36114	80072
373	36214	79980
374	36315	79893
375	36414	79801
376	36514	79712
377	36614	79622
378	36716	79536
379	36819	79452
380	36920	79363
381	37024	79282
382	37125	79193
383	37249	79155
384	37349	79064
385	37449	78974
386	37549	78883
387	37648	78789
388	37748	78698
389	37845	78602
390	37942	78505
391	38039	78407
392	38136	78310
393	38236	78220
394	38335	78127
395	38433	78031
396	38533	77939
397	38634	77851
398	38762	77816
399	38864	77728
400	38989	77688
401	39113	77642
402	39234	77592
403	39341	77514
404	39477	77493
405	39594	77433
406	39699	77350
407	39808	77275
408	39913	77191
409	40020	77112
410	40128	77034
411	40247	76977
412	40378	76943
413	40508	76906
414	40619	76833
415	40754	76806
416	40862	76726
417	40990	76685
418	41120	76647
419	41227	76566
420	41341	76495
421	41452	76422
422	41563	76346
423	41689	76300
424	41802	76228
425	41910	76147
426	42017	76064
427	42124	75982
428	42245	75923
429	42365	75864
430	42482	75798
431	42596	75726
432	42705	75647
433	42813	75564
434	42920	75481
435	43028	75398
436	43134	75312
437	43244	75233
438	43351	75149
439	43458	75064
440	43562	74974
441	43670	74892
442	43774	74801
443	43874	74704
444	44002	74656
445	44107	74567
446	44211	74476
447	44317	74390
448	44422	74300
449	44521	74202
450	44626	74113
451	44728	74019
452	44829	73924
453	44930	73829
454	45029	73729
455	45127	73629
456	45224	73526
457	45325	73430
458	45422	73329
459	45525	73236
460	45624	73138
461	45724	73040
462	45823	72941
463	45920	72839
464	46019	72740
465	46115	72637
466	46238	72576
467	46333	72471
468	46428	72365
469	46524	72262
470	46620	72157
471	46715	72053
472	46807	71943
473	46898	71832
474	46991	71723
475	47082	71612
476	47177	71508
477	47279	71413
478	47389	71330
479	47501	71251
480	47610	71167
481	47710	71070
482	47812	70976
483	47911	70877
484	48011	70780
485	48110	70680
486	48208	70580
487	48311	70487
488	48434	70423
489	48536	70328
490	48639	70234
491	48741	70140
492	48847	70050
493	48947	69953
494	49046	69853
495	49144	69754
496	49243	69654
497	49343	69556
498	49440	69455
499	49541	69358
500	49641	69259
501	49739	69159
502	49838	69060
503	49939	68963
504	50038	68864
505	50134	68762
506	50243	68675
507	50355	68594
508	50462	68506
509	50579	68431
510	50711	68376
511	50819	68289
512	50941	68219
513	51051	68134
514	51161	68049
515	51264	67955
516	51367	67860
517	51469	67764
518	51574	67672
519	51679	67580
520	51785	67490
521	51891	67399
522	51995	67305
523	52097	67210
524	52202	67117
525	52305	67023
526	52401	66919
527	52515	66838
528	52620	66745
529	52726	66653
530	52831	66561
531	52937	66470
532	53045	66380
533	53153	66292
534	53255	66195
535	53361	66105
536	53463	66008
537	53570	65917
538	53675	65824
539	53779	65730
540	53880	65632
541	53982	65536
542	54083	65437
543	54185	65341
544	54286	65242
545	54384	65141
546	54484	65042
547	54591	64951
548	54692	64853
549	54793	64755
550	54889	64651
551	54995	64560
552	55096	64461
553	55220	64390
554	55322	64293
555	55423	64195
556	55523	64096
557	55624	63998
558	55735	63911
559	55834	63811
560	55933	63710
561	56030	63607
562	56127	63504
563	56224	63401
564	56322	63300
565	56422	63200
566	56521	63100
567	56619	62998
568	56717	62897
569	56816	62797
570	56916	62697
571	57015	62597
572	57111	62494
573	57208	62390
574	57309	62292
575	57436	62222
576	57544	62132
577	57650	62039
578	57748	61937
579	57845	61834
580	57942	61732
581	58041	61631
582	58137	61528
583	58231	61422
584	58327	61318
585	58418	61210
586	58517	61108
587	58609	61001
588	58701	60894
589	58792	60785
590	58887	60681
591	58980	60575
592	59073	60467
593	59167	60362
594	59261	60257
595	59354	60150
596	59446	60043
597	59542	59941
598	59646	59845
599	59738	59738
600	59831	59632
601	59924	59526
602	60015	59417
603	60105	59309
604	60204	59209
605	60309	59114
606	60407	59013
607	60497	58905
608	60589	58798
609	60681	58691
610	60771	58583
611	60862	58476
612	60952	58367
613	61045	58261
614	61137	58154
615	61226	58046
616	61316	57937
617	61405	57828
618	61498	57723
619	61590	57616
620	61681	57509
621	61773	57403
622	61883	57313
623	61976	57208
624	62072	57106
625	62163	56999
626	62260	56898
627	62351	56791
628	62447	56689
629	62543	56586
630	62640	56485
631	62731	56379
632	62823	56273
633	62917	56169
634	63010	56064
635	63105	55961
636	63198	55856
637	63293	55753
638	63384	55647
